City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sandnessjoen,66.0217,12.6316,-0.88,74,75,1.54,NO,1712352226
1,huron,41.1501,-82.5499,6.31,60,100,7.29,US,1712352227
2,uturoa,-16.7333,-151.4333,29.02,75,97,4.45,PF,1712352227
3,hawaiian paradise park,19.5933,-154.9731,25.73,75,75,0.45,US,1712351808
4,new norfolk,-42.7826,147.0587,11.51,99,29,1.07,AU,1712352228
5,ilulissat,69.2167,-51.1,-2.99,59,40,1.54,GL,1712351821
6,grytviken,-54.2811,-36.5092,2.37,89,100,3.58,GS,1712351806
7,edinburgh of the seven seas,-37.0676,-12.3116,18.68,88,98,10.82,SH,1712351806
8,stanley,54.868,-1.6985,12.77,77,20,6.17,GB,1712351811
9,georgetown,5.4112,100.3354,29.97,79,20,1.54,MY,1712351918
10,aykhal,66.0,111.5,-24.19,96,99,6.79,RU,1712352096
11,bethel,41.3712,-73.414,8.93,58,75,5.14,US,1712352097
12,zhosaly,45.4878,64.0781,14.59,48,14,3.98,KZ,1712352230
13,port mathurin,-19.6833,63.4167,26.84,79,99,7.67,MU,1712352113
14,isafjordur,66.0755,-23.124,-5.07,71,77,3.51,IS,1712352019
15,ballina,-28.8667,153.5667,20.43,91,38,1.44,AU,1712352231
16,adamstown,-25.066,-130.1015,22.01,63,88,2.66,PN,1712351807
17,la'ie,21.6477,-157.9253,26.98,75,25,5.81,US,1712352232
18,ta`u,-14.2336,-169.5144,28.99,75,88,4.15,AS,1712352232
19,margate,51.3813,1.3862,13.72,81,100,3.58,GB,1712352025
20,waitangi,-43.9535,-176.5597,11.57,81,100,1.34,NZ,1712351809
21,lubao,14.9167,120.55,27.04,79,93,2.4,PH,1712352233
22,lebu,-37.6167,-73.65,14.93,76,0,5.42,CL,1712352106
23,erdenet,49.0333,104.0833,1.48,61,20,1.64,MN,1712352234
24,tofol,5.3248,163.0078,28.32,78,100,8.4,FM,1712351816
25,blackmans bay,-43.0167,147.3167,10.85,93,2,2.98,AU,1712352115
