City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-francois,46.4154,3.9054,5.69,87,20,1.03,FR,1712701974
1,olonkinbyen,70.9221,-8.7187,-2.8,86,29,6.32,SJ,1712701737
2,dudinka,69.4058,86.1778,-22.25,96,100,5.18,RU,1712701757
3,puerto natales,-51.7236,-72.4875,3.58,93,34,2.56,CL,1712701975
4,singaparna,-7.3515,108.111,22.18,98,100,0.07,ID,1712701975
5,ilulissat,69.2167,-51.1,-6.99,68,20,1.54,GL,1712701704
6,waitangi,-43.9535,-176.5597,17.68,87,43,3.58,NZ,1712701976
7,heroica matamoros,25.8833,-97.5,30.57,74,100,10.29,MX,1712701888
8,port-aux-francais,-49.35,70.2167,8.49,95,100,16.92,TF,1712701977
9,basco,20.4487,121.9702,25.98,82,69,8.27,PH,1712701709
10,zharkent,44.1628,80.0,8.57,64,51,2.86,KZ,1712701977
11,grytviken,-54.2811,-36.5092,2.28,84,100,5.66,GS,1712701978
12,richards bay,-28.783,32.0377,18.62,88,1,3.21,ZA,1712701711
13,hasaki,35.7333,140.8333,10.16,46,29,10.01,JP,1712701978
14,papatowai,-46.5619,169.4708,15.78,79,100,0.33,NZ,1712701979
15,natal,-5.795,-35.2094,28.12,83,75,2.06,BR,1712701979
16,lazaro cardenas,17.9583,-102.2,26.94,60,88,5.63,MX,1712701969
17,musoma,-1.5,33.8,21.1,80,86,1.83,TZ,1712701713
18,fort mcmurray,56.7268,-111.381,15.73,17,0,7.72,CA,1712701823
19,punta arenas,-53.15,-70.9167,7.06,61,40,8.75,CL,1712701921
20,oban,56.4127,-5.4706,4.65,73,4,3.68,GB,1712701714
21,puerto ayora,-0.7393,-90.3518,30.98,92,42,1.34,EC,1712701988
22,turi,40.9173,17.0212,17.26,62,99,2.63,IT,1712701989
23,enid,36.3956,-97.8784,21.09,31,100,7.72,US,1712701715
24,machico,32.7,-16.7667,18.17,65,20,9.77,PT,1712701989
25,port lincoln,-34.7333,135.8667,14.71,69,100,2.09,AU,1712701717
26,pago pago,-14.2781,-170.7025,31.55,79,75,1.54,AS,1712701991
